country,year,population,gdp_per_capita,households_expenditure_per_capita,cost_healthy_diet,Yearly_cost_healthy_diet
Kazakhstan                      ,2020,18755666.0,9121.6,4829.6,2.657,956.5
Kenya                           ,2017,50221146.0,1633.5,1272.7,2.846,1024.6
Kenya                           ,2018,51392570.0,1794.1,1383.3,2.823,1016.3
Kenya                           ,2019,52573967.0,1909.3,1478.2,2.907,1046.5
Kenya                           ,2020,53771300.0,1872.1,1415.9,2.968,1068.5
Kuwait                          ,2017,4056102.0,29759.5,12884.5,3.344,1203.8
Kuwait                          ,2018,4137314.0,33399.1,13280.3,3.407,1226.5
Kuwait                          ,2019,4207077.0,32373.3,13388.3,3.468,1248.5
Kuwait                          ,2020,4270563.0,24811.8,13280.3,3.606,1298.2
Latvia                          ,2017,1942248.0,15695.1,9468.7,3.124,1124.6
Latvia                          ,2018,1927174.0,17865.0,10584.3,3.13,1126.8
Latvia                          ,2019,1913822.0,17926.8,10424.4,3.132,1127.5
Latvia                          ,2020,1900449.0,17704.0,9997.6,3.24,1166.4
Lesotho                         ,2017,2091532.0,1102.6,987.1,3.77,1357.2
Lesotho                         ,2018,2108327.0,1192.5,975.2,3.878,1396.1
Lesotho                         ,2019,2125267.0,1153.4,951.4,4.01,1443.6
Lesotho                         ,2020,2142252.0,1050.6,880.3,4.266,1535.8
Liberia                         ,2017,4702224.0,721.1,4079.8,4.018,1446.5
Liberia                         ,2018,4818976.0,710.3,4079.8,4.031607121,1451.4
Liberia                         ,2019,4937374.0,672.3,4079.8,3.847,1384.9
Liberia                         ,2020,5057677.0,601.1,4079.8,3.903,1405.1
Lithuania                       ,2017,2828403.0,16885.4,10503.3,3.003,1081.1
Lithuania                       ,2018,2801543.0,19186.2,11791.1,3.042,1095.1
Lithuania                       ,2019,2794137.0,19575.8,11797.9,3.039,1094.0
Lithuania                       ,2020,2794885.0,20232.3,11882.0,3.099,1115.6
Luxembourg                      ,2017,596336.0,54367.0125,22204.025,2.492,897.1
Luxembourg                      ,2018,607950.0,54367.0125,22204.025,2.627,945.7
Luxembourg                      ,2019,620001.0,54367.0125,22204.025,2.6,936.0
Luxembourg                      ,2020,630419.0,54367.0125,22204.025,2.661,958.0
Madagascar                      ,2017,25570511.0,515.3,369.0,2.987,1075.3
Madagascar                      ,2018,26262313.0,518.4,370.4,3.122,1123.9
Madagascar                      ,2019,26969306.0,526.2,363.0,3.154,1135.4
Madagascar                      ,2020,27691019.0,477.6,341.8,3.181,1145.2
Malawi                          ,2017,17670193.0,506.1,4079.8,2.724,980.6
Malawi                          ,2018,18143215.0,544.6,4079.8,2.787,1003.3
Malawi                          ,2019,18628749.0,591.8,4079.8,2.989,1076.0
Malawi                          ,2020,19129955.0,636.3,4079.8,3.149,1133.6
Malaysia                        ,2017,31104655.0,10259.3,5682.8,3.224,1160.6
Malaysia                        ,2018,31528033.0,11380.1,6535.1,3.319,1194.8
Malaysia                        ,2019,31949789.0,11432.8,6831.5,3.412,1228.3
Malaysia                        ,2020,32365998.0,10412.3,6334.1,3.538,1273.7
Maldives                        ,2017,496398.0,9577.3,4505.7,3.581,1289.2
Maldives                        ,2018,515704.0,10279.1,4835.7,3.634,1308.2
Maldives                        ,2019,530957.0,10561.6,4935.4,3.662,1318.3
Maldives                        ,2020,540542.0,6924.1,3515.5,3.861,1390.0
Mali                            ,2017,18512429.0,830.0,629.7,2.9,1044.0
Mali                            ,2018,19077755.0,894.8,669.0,3.035,1092.6
Mali                            ,2019,19658023.0,879.0,650.3,2.96,1065.6
Mali                            ,2020,20250834.0,862.5,633.1,3.053,1099.1
Malta                           ,2017,467999.0,28857.0,13133.7,3.494,1257.8
Malta                           ,2018,484630.0,31573.1,14551.7,3.629,1306.4
Malta                           ,2019,504062.0,31185.6,14138.8,3.698,1331.3
Malta                           ,2020,515332.0,28946.5,12816.6,3.769,1356.8
Mauritania                      ,2017,4282582.0,1587.9,929.3,3.451,1242.4
Mauritania                      ,2018,4403312.0,1669.8,959.7,3.574,1286.6
Mauritania                      ,2019,4525698.0,1743.3,960.9,3.6541,1315.5
Mauritania                      ,2020,4649660.0,1702.5,969.3,3.692,1329.1
Mauritius                       ,2017,1264613.0,10484.9,7846.4,3.313,1192.7
Mauritius                       ,2018,1265303.0,11208.3,8489.1,3.396,1222.6
Mauritius                       ,2019,1265711.0,11097.2,8419.9,3.439,1238.0
Mauritius                       ,2020,1265740.0,8632.8,6327.1,3.604,1297.4
Mexico                          ,2017,74168669.625,9287.8,6057.5,2.993,1077.5
Mexico                          ,2018,74168669.625,9687.0,6274.9,3.071,1105.6
Mexico                          ,2019,74168669.625,9950.2,6456.1,3.075,1107.0
Mexico                          ,2020,74168669.625,8431.7,5321.0,3.293,1185.5
Moldova                         ,2017,2755158.0,3509.7,3005.3,2.46,885.6
Moldova                         ,2018,2708214.0,4230.6,3586.9,2.571,925.6
Moldova                         ,2019,2664974.0,4492.1,3783.7,2.687,967.3
Moldova                         ,2020,2620495.0,4525.8,3694.3,2.814,1013.0
Mongolia                        ,2017,3113788.0,3687.1,2074.5,4.544,1635.8
Mongolia                        ,2018,3170214.0,4156.8,2409.1,4.667,1680.1
Mongolia                        ,2019,3225166.0,4404.8,2522.3,4.901,1764.4
Mongolia                        ,2020,3278292.0,4061.0,2455.7,5.103,1837.1
Montenegro                      ,2017,622373.0,7803.4,5836.6,3.397,1222.9
Montenegro                      ,2018,622227.0,8850.4,6499.7,3.414,1229.0
Montenegro                      ,2019,622028.0,8909.9,6359.5,3.509,1263.2
Montenegro                      ,2020,621306.0,7694.6,6249.9,3.494,1257.8
Morocco                         ,2017,35581257.0,3035.5,1785.0,2.71,975.6
Morocco                         ,2018,36029089.0,3227.0,1901.3,2.752,990.7
Morocco                         ,2019,36471766.0,3235.0,1883.5,2.759,993.2
Morocco                         ,2020,36910558.0,3058.7,1812.2,2.797,1006.9
Mozambique                      ,2017,28649007.0,461.4,298.7,3.031,1091.2
Mozambique                      ,2018,29496009.0,503.3,330.1,2.988,1075.7
Mozambique                      ,2019,30366043.0,506.8,327.7,3.057,1100.5
Mozambique                      ,2020,31255435.0,448.8,290.9,3.228,1162.1
Myanmar                         ,2017,53382521.0,1151.1,642.1,3.706,1334.2
Myanmar                         ,2018,53708318.0,1250.2,697.8,3.786,1363.0
Myanmar                         ,2019,54045422.0,1271.1,662.3,3.861,1390.0
Myanmar                         ,2020,54409794.0,1450.7,742.3,4.186,1507.0
Namibia                         ,2017,2402623.0,5367.1,3789.6,3.255,1171.8
Namibia                         ,2018,2448300.0,5588.4,3893.1,3.3,1188.0
Namibia                         ,2019,2494524.0,5028.3,3542.1,3.378,1216.1
Namibia                         ,2020,2540916.0,4157.0,2867.0,3.52,1267.2
Nepal                           ,2017,27632682.0,1048.5,823.0,4.127,1485.7
Nepal                           ,2018,28095712.0,1178.5,909.2,4.145,1492.2
Nepal                           ,2019,28608715.0,1195.0,915.1,4.222,1519.9
Nepal                           ,2020,29136808.0,1147.5,977.8,4.362,1570.3
Netherlands                     ,2017,17131296.0,48675.2,21580.4,2.743,987.5
Netherlands                     ,2018,17231624.0,53044.5,22204.025,2.821,1015.6
Netherlands                     ,2019,17344874.0,52476.3,22204.025,2.844,1023.8
Netherlands                     ,2020,17441500.0,52396.0,21953.0,2.991,1076.8
New Zealand                     ,2017,4813600.0,42925.0,22204.025,2.671,961.6
New Zealand                     ,2018,4900600.0,43250.4,22204.025,2.589,932.0
New Zealand                     ,2019,4979200.0,42865.2,22204.025,2.692,969.1
New Zealand                     ,2020,5090200.0,41596.5,22204.025,2.723,980.3
Nicaragua                       ,2017,6384843.0,2159.2,1498.0,3.191,1148.8
Nicaragua                       ,2018,6465502.0,2014.6,1421.4,3.245,1168.2
Nicaragua                       ,2019,6545503.0,1924.5,1386.0,3.279,1180.4
Nicaragua                       ,2020,6624554.0,1900.0,1345.0,3.335,1200.6
Niger                           ,2017,21602388.0,517.8,370.2,2.85,1026.0
Niger                           ,2018,22442831.0,570.7,401.1,2.812,1012.3
Niger                           ,2019,23310719.0,554.1,380.3,2.792,1005.1
Niger                           ,2020,24206636.0,567.7,390.4,2.859,1029.2
Nigeria                         ,2017,74168669.625,1968.6,1577.3,3.565,1283.4
Nigeria                         ,2018,74168669.625,2027.8,1553.2,3.724,1340.6
Nigeria                         ,2019,74168669.625,2229.9,1663.3,3.87,1393.2
Nigeria                         ,2020,74168669.625,2097.1,1340.3,4.093,1473.5
North Macedonia                 ,2017,2074502.0,5450.5,3632.9,3.318,1194.5
North Macedonia                 ,2018,2076217.0,6108.7,4022.8,3.31,1191.6
North Macedonia                 ,2019,2076694.0,6070.4,3976.3,3.336,1201.0
North Macedonia                 ,2020,2072531.0,5846.5,3934.2,3.427,1233.7
Norway                          ,2017,5276968.0,54367.0125,22204.025,3.325,1197.0
Norway                          ,2018,5311916.0,54367.0125,22204.025,3.432,1235.5
Norway                          ,2019,5347896.0,54367.0125,22204.025,3.356,1208.2
Norway                          ,2020,5379475.0,54367.0125,22204.025,3.471,1249.6
Oman                            ,2017,4665926.0,17329.2,6784.5,2.815,1013.4
Oman                            ,2018,4829476.0,18947.4,6594.3,2.838,1021.7
Oman                            ,2019,4974992.0,17700.7,6641.1,2.921,1051.6
Oman                            ,2020,5106622.0,14485.4,6381.0,3.021,1087.6
Pakistan                        ,2017,74168669.625,1631.5,1336.9,3.408,1226.9
Pakistan                        ,2018,74168669.625,1678.0,1382.7,3.395,1222.2
Pakistan                        ,2019,74168669.625,1481.8,1242.9,3.46,1245.6
Pakistan                        ,2020,74168669.625,1359.5,1105.9,3.685,1326.6
Panama                          ,2017,4106764.0,15146.4,7674.7,4.225,1521.0
Panama                          ,2018,4176868.0,15545.0,7987.4,4.268,1536.5
Panama                          ,2019,4246440.0,15774.3,8259.1,4.382,1577.5
Panama                          ,2020,4314768.0,12509.8,6744.9,4.476,1611.4
Paraguay                        ,2017,6867058.0,5678.9,3571.6,3.43,1234.8
Paraguay                        ,2018,6956069.0,5782.8,3720.4,3.511,1264.0
Paraguay                        ,2019,7044639.0,5383.6,3517.2,3.519,1266.8
Paraguay                        ,2020,7132530.0,4967.7,3139.5,3.543,1275.5
Peru                            ,2017,31444299.0,6710.5,4304.8,3.084,1110.2
Peru                            ,2018,31989265.0,6958.5,4443.6,3.061,1102.0
Peru                            ,2019,32510462.0,7023.1,4550.1,3.248,1169.3
Peru                            ,2020,32971846.0,6117.5,3923.3,3.285,1182.6
Philippines                     ,2017,74168669.625,3123.2,2254.4,3.843,1383.5
Philippines                     ,2018,74168669.625,3252.1,2359.2,3.998,1439.3
Philippines                     ,2019,74168669.625,3485.3,2551.5,4.054,1459.4
Philippines                     ,2020,74168669.625,3301.2,2478.2,4.108,1478.9
Poland                          ,2017,37974826.0,13864.7,8129.8,2.909,1047.2
Poland                          ,2018,37974750.0,15468.5,9039.4,2.986,1075.0
Poland                          ,2019,37965475.0,15732.2,9046.2,3.038,1093.7
Poland                          ,2020,37899070.0,15742.5,8935.4,3.17,1141.2
Portugal                        ,2017,10300300.0,21490.4,13878.3,2.513,904.7
Portugal                        ,2018,10283822.0,23562.6,15143.6,2.596,934.6
Portugal                        ,2019,10286263.0,23330.8,14945.3,2.579,928.4
Portugal                        ,2020,10297081.0,22194.6,14251.9,2.656,956.2
Qatar                           ,2017,2724727.0,54367.0125,15072.7,2.375,855.0
Qatar                           ,2018,2781682.0,54367.0125,15168.5,2.426,873.4
Qatar                           ,2019,2832071.0,54367.0125,15227.2,2.484,894.2
Qatar                           ,2020,2881060.0,50124.4,13307.2,2.577,927.7
Romania                         ,2017,19588715.0,10807.0,6844.5,2.921,1051.6
Romania                         ,2018,19473970.0,12399.0,7911.7,2.957,1064.5
Romania                         ,2019,19371648.0,12899.3,8102.9,3.01,1083.6
Romania                         ,2020,19257520.0,12956.6,7915.2,3.191,1148.8
Rwanda                          ,2017,11980960.0,772.3,569.8,2.609,939.2
Rwanda                          ,2018,12301969.0,783.8,606.9,2.483,893.9
Rwanda                          ,2019,12626938.0,820.2,615.4,2.537,913.3
Rwanda                          ,2020,12952209.0,786.3,589.8,2.698,971.3
Sao Tome and Principe           ,2017,207086.0,1813.8,4079.8,3.288,1183.7
Sao Tome and Principe           ,2018,211032.0,1953.5,4079.8,3.394,1221.8
Sao Tome and Principe           ,2019,215048.0,1987.6,4079.8,3.463,1246.7
Sao Tome and Principe           ,2020,219161.0,2157.8,4079.8,3.551,1278.4
Saudi Arabia                    ,2017,33101183.0,20802.5,8568.8,3.441,1238.8
Saudi Arabia                    ,2018,33702757.0,24228.8,8887.7,3.663,1318.7
Saudi Arabia                    ,2019,34268529.0,23450.6,9052.1,3.888,1399.7
Saudi Arabia                    ,2020,34813867.0,20203.7,8733.7,4.148,1493.3
Senegal                         ,2017,15419354.0,1361.7,958.6,2.19,788.4
Senegal                         ,2018,15854324.0,1458.1,1012.8,2.25,810.0
Senegal                         ,2019,16296362.0,1435.8,980.8,2.278,820.1
Senegal                         ,2020,16743930.0,1462.8,1006.7,2.33,838.8
Serbia                          ,2017,7020858.0,6292.5,4459.5,4.07,1465.2
Serbia                          ,2018,6982604.0,7252.4,5035.4,4.149,1493.6
Serbia                          ,2019,6945235.0,7417.2,5060.4,4.174,1502.6
Serbia                          ,2020,6899126.0,7730.7,5148.6,4.246,1528.6
Seychelles                      ,2017,95843.0,16416.7,9411.1,4.01,1443.6
Seychelles                      ,2018,96762.0,16910.7,9960.9,3.965,1427.4
Seychelles                      ,2019,97625.0,17252.0,9825.8,3.923,1412.3
Seychelles                      ,2020,98462.0,12193.9,8269.6,3.801,1368.4
Sierra Leone                    ,2017,7488427.0,496.7,462.1,2.842,1023.1
Sierra Leone                    ,2018,7650149.0,534.0,521.7,2.952,1062.7
Sierra Leone                    ,2019,7813207.0,521.8,514.4,2.847,1024.9
Sierra Leone                    ,2020,7976985.0,509.4,515.4,2.893,1041.5
Singapore                       ,2017,5612253.0,54367.0125,21532.2,2.775,999.0
Singapore                       ,2018,5638676.0,54367.0125,22204.025,2.867,1032.1
Singapore                       ,2019,5703569.0,54367.0125,22204.025,2.936,1057.0
Singapore                       ,2020,5685807.0,54367.0125,19809.0,3.064,1103.0
Sint Maarten (Dutch part)       ,2017,40574.0,29369.1,4079.8,4.462,1606.3
Sint Maarten (Dutch part)       ,2018,40895.0,28988.3,4079.8,4.73,1702.8
Sint Maarten (Dutch part)       ,2019,41608.0,29178.699999999997,4079.8,4.77,1717.2
Sint Maarten (Dutch part)       ,2020,42310.0,29178.699999999997,4079.8,5.36,1929.6
Slovenia                        ,2017,2066388.0,23514.0,12354.4,2.798,1007.3
Slovenia                        ,2018,2073894.0,26116.9,13592.3,2.902,1044.7
Slovenia                        ,2019,2088385.0,25943.0,13589.0,2.916,1049.8
Slovenia                        ,2020,2102419.0,25489.5,12800.9,3.07,1105.2
South Africa                    ,2017,57009751.0,6690.9,4215.9,4.102,1476.7
South Africa                    ,2018,57792520.0,7005.1,4456.5,4.146,1492.6
South Africa                    ,2019,58558267.0,6624.8,4227.5,4.198,1511.3
South Africa                    ,2020,59308690.0,5655.9,3521.0,4.298,1547.3
Spain                           ,2017,46593236.0,28170.2,16441.0,2.699,971.6
Spain                           ,2018,46797754.0,30364.6,17651.4,2.741,986.8
Spain                           ,2019,47134837.0,29554.5,16949.2,2.744,987.8
Spain                           ,2020,47363419.0,27056.4,15145.0,2.838,1021.7
Sri Lanka                       ,2017,21444000.0,4077.0,2735.5,3.702,1332.7
Sri Lanka                       ,2018,21670000.0,4059.2,2776.8,3.705,1333.8
Sri Lanka                       ,2019,21803000.0,3848.2,2709.2,3.667,1320.1
Sri Lanka                       ,2020,21919000.0,3694.0,2620.9,3.923,1412.3
Sudan                           ,2017,40813398.0,3178.3,1354.2,3.674,1322.6
Sudan                           ,2018,41801532.0,773.5,312.0,3.921,1411.6
Sudan                           ,2019,42813237.0,755.3,293.7,4.306,1550.2
Sudan                           ,2020,43849269.0,615.5,245.6,4.308,1550.9
Suriname                        ,2017,570501.0,6295.6,4079.8,4.969,1788.8
Suriname                        ,2018,575987.0,6938.1,4079.8,5.223,1880.3
Suriname                        ,2019,581363.0,6853.7,4079.8,5.336,1921.0
Suriname                        ,2020,586634.0,4916.6,4079.8,5.739,2066.0
Sweden                          ,2017,10057698.0,53791.5,22204.025,3.086,1111.0
Sweden                          ,2018,10175214.0,54367.0125,22204.025,3.164,1139.0
Sweden                          ,2019,10278887.0,51939.4,22204.025,3.154,1135.4
Sweden                          ,2020,10353442.0,52300.2,22204.025,3.339,1202.0
Switzerland                     ,2017,8451840.0,54367.0125,22204.025,2.523,908.3
Switzerland                     ,2018,8514329.0,54367.0125,22204.025,2.591,932.8
Switzerland                     ,2019,8575280.0,54367.0125,22204.025,2.563,922.7
Switzerland                     ,2020,8636561.0,54367.0125,22204.025,2.659,957.2
Tajikistan                      ,2017,8880270.0,848.7,682.7,3.027,1089.7
Tajikistan                      ,2018,9100847.0,853.2,652.0,3.119,1122.8
Tajikistan                      ,2019,9321023.0,890.5,679.0,3.433,1235.9
Tajikistan                      ,2020,9537642.0,852.8,661.8,3.48,1252.8
Tanzania                        ,2017,54660345.0,1004.9,579.9,2.598,935.3
Tanzania                        ,2018,56313444.0,1042.8,606.1,2.648,953.3
Tanzania                        ,2019,58005461.0,1085.9,617.1,2.681,965.2
Tanzania                        ,2020,59734213.0,1076.5,603.5,2.736,985.0
Thailand                        ,2017,69209817.0,6593.8,3226.4,3.971,1429.6
Thailand                        ,2018,69428454.0,7298.9,3568.3,4.042,1455.1
Thailand                        ,2019,69625581.0,7814.4,3888.8,4.181,1505.2
Thailand                        ,2020,69799978.0,7158.8,3800.6,4.321,1555.6
Trinidad and Tobago             ,2017,1384060.0,16747.9,4079.8,3.928,1414.1
Trinidad and Tobago             ,2018,1389841.0,17139.2,4079.8,4.028,1450.1
Trinidad and Tobago             ,2019,1394969.0,17123.1,4079.8,4.083,1469.9
Trinidad and Tobago             ,2020,1399491.0,15285.9,4079.8,4.224,1520.6
Tunisia                         ,2017,11433438.0,3687.8,2657.3,3.476,1251.4
Tunisia                         ,2018,11565203.0,3690.9,2640.8,3.559,1281.2
Tunisia                         ,2019,11694721.0,3571.9,2570.3,3.628,1306.1
Tunisia                         ,2020,11818618.0,3597.2,2660.3,3.639,1310.0
Turks and Caicos Islands        ,2017,37116.0,27545.1,4079.8,2.809,1011.2
Turks and Caicos Islands        ,2018,37667.0,29553.1,4079.8,2.897,1042.9
Turks and Caicos Islands        ,2019,38194.0,31350.9,4079.8,2.973,1070.3
Turks and Caicos Islands        ,2020,38718.0,23879.9,4079.8,3.095,1114.2
Uganda                          ,2017,41166588.0,746.8,529.4,2.749,989.6
Uganda                          ,2018,42729032.0,770.6,557.2,2.712,976.3
Uganda                          ,2019,44269587.0,798.6,568.4,2.678,964.1
Uganda                          ,2020,45741000.0,822.0,585.7,2.658,956.9
United Arab Emirates            ,2017,9487206.0,40644.8,15163.3,2.755,991.8
United Arab Emirates            ,2018,9630966.0,43839.3,16791.3,2.835,1020.6
United Arab Emirates            ,2019,9770526.0,42701.4,16766.7,2.902,1044.7
United Arab Emirates            ,2020,9890400.0,36284.6,14194.1,3.111,1120.0
United Kingdom                  ,2017,66058859.0,40857.8,22204.025,1.822,655.9
United Kingdom                  ,2018,66460344.0,43647.0,22204.025,1.873,674.3
United Kingdom                  ,2019,66836327.0,43070.5,22204.025,1.881,677.2
United Kingdom                  ,2020,67081000.0,41098.1,22204.025,1.912,688.3
United States                   ,2017,74168669.625,54367.0125,22204.025,3.225,1161.0
United States                   ,2018,74168669.625,54367.0125,22204.025,3.24,1166.4
United States                   ,2019,74168669.625,54367.0125,22204.025,3.268,1176.5
United States                   ,2020,74168669.625,54367.0125,22204.025,3.383,1217.9
Uruguay                         ,2017,3436645.0,18690.9,4079.8,3.073,1106.3
Uruguay                         ,2018,3449290.0,18703.9,4079.8,3.17,1141.2
Uruguay                         ,2019,3461731.0,17688.0,4079.8,3.254,1171.4
Uruguay                         ,2020,3473727.0,15418.8,4079.8,3.414,1229.0
Vietnam                         ,2017,74168669.625,2974.1,4079.8,3.586,1291.0
Vietnam                         ,2018,74168669.625,3230.9,4079.8,3.663,1318.7
Vietnam                         ,2019,74168669.625,3425.1,4079.8,3.776,1359.4
Vietnam                         ,2020,74168669.625,3526.3,4079.8,4.072,1465.9
World                           ,2017,74168669.625,10825.9,6122.3,3.314,1193.0
World                           ,2018,74168669.625,11366.1,6377.8,3.35,1206.0
World                           ,2019,74168669.625,11407.5,6418.8,3.425,1233.0
World                           ,2020,74168669.625,10936.1,6048.2,3.537,1273.3
Zambia                          ,2017,16853608.0,1535.2,721.3,3.085,1110.6
Zambia                          ,2018,17351714.0,1516.4,681.9,3.15,1134.0
Zambia                          ,2019,17861034.0,1305.0,551.3,3.245,1168.2
Zambia                          ,2020,18383956.0,985.1,379.1,3.3,1188.0
Zimbabwe                        ,2017,14236599.0,1235.2,980.3,3.456,1244.2
